starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 18 23:55:26 2021	1637250926	0	15	15	15
Thu Nov 18 23:55:26 2021	1637250926	0	15	15	15
Thu Nov 18 23:55:26 2021	1637250926	1	14	15	14
Thu Nov 18 23:55:26 2021	1637250926	0	15	15	15
Thu Nov 18 23:55:26 2021	1637250926	0	15	15	15
Thu Nov 18 23:55:26 2021	1637250926	0	15	15	15
Thu Nov 18 23:55:26 2021	1637250926	1	15	15	14
Thu Nov 18 23:55:26 2021	1637250926	0	15	15	15
Thu Nov 18 23:55:26 2021	1637250926	0	15	15	15
Thu Nov 18 23:55:26 2021	1637250926	1	15	16	15
Thu Nov 18 23:55:26 2021	1637250926	0	15	16	15
Thu Nov 18 23:55:26 2021	1637250926	0	15	16	15
Thu Nov 18 23:55:26 2021	1637250926	0	15	16	15
Thu Nov 18 23:55:26 2021	1637250926	1	15	16	15
Thu Nov 18 23:55:26 2021	1637250926	0	15	16	15
Thu Nov 18 23:55:26 2021	1637250926	0	15	16	15
Thu Nov 18 23:55:26 2021	1637250926	2	14	16	14
Thu Nov 18 23:55:26 2021	1637250926	0	15	16	15
Thu Nov 18 23:55:26 2021	1637250926	0	16	16	15
Thu Nov 18 23:55:26 2021	1637250926	0	16	16	15
Thu Nov 18 23:55:26 2021	1637250926	1	15	16	15
Thu Nov 18 23:55:26 2021	1637250926	0	15	16	15
Thu Nov 18 23:55:26 2021	1637250926	0	16	16	15
Thu Nov 18 23:55:26 2021	1637250926	0	16	16	16
Thu Nov 18 23:55:26 2021	1637250926	1	15	16	14
Thu Nov 18 23:55:26 2021	1637250926	1	15	16	15
Thu Nov 18 23:55:26 2021	1637250926	0	16	16	16
Thu Nov 18 23:55:26 2021	1637250926	0	16	16	15
Thu Nov 18 23:55:26 2021	1637250926	1	15	16	15
Thu Nov 18 23:55:26 2021	1637250926	1	15	16	15
Thu Nov 18 23:55:26 2021	1637250926	1	15	16	14
Thu Nov 18 23:55:26 2021	1637250926	1	15	16	15
Thu Nov 18 23:55:26 2021	1637250926	1	15	16	15
Thu Nov 18 23:55:26 2021	1637250926	1	15	16	15
Thu Nov 18 23:55:26 2021	1637250926	0	16	16	16
Thu Nov 18 23:55:26 2021	1637250926	0	16	16	16
Thu Nov 18 23:55:26 2021	1637250926	0	16	16	16
Thu Nov 18 23:55:26 2021	1637250926	0	16	16	16
Thu Nov 18 23:55:26 2021	1637250926	0	16	16	16
Thu Nov 18 23:55:26 2021	1637250926	0	16	16	15
Thu Nov 18 23:55:26 2021	1637250926	0	16	16	16
Thu Nov 18 23:55:26 2021	1637250926	0	16	16	16
Thu Nov 18 23:55:26 2021	1637250926	0	16	16	16
Thu Nov 18 23:55:26 2021	1637250926	1	15	16	15
Thu Nov 18 23:55:26 2021	1637250926	1	16	17	16
Thu Nov 18 23:55:26 2021	1637250926	2	14	17	14
Thu Nov 18 23:55:26 2021	1637250926	1	16	17	16
Thu Nov 18 23:55:26 2021	1637250926	1	16	17	16
Thu Nov 18 23:55:26 2021	1637250926	0	16	17	16
Thu Nov 18 23:55:26 2021	1637250926	1	16	17	16
Thu Nov 18 23:55:26 2021	1637250926	0	16	17	16
Thu Nov 18 23:55:26 2021	1637250926	3	14	17	14
Thu Nov 18 23:55:26 2021	1637250926	0	17	17	17
Thu Nov 18 23:55:26 2021	1637250926	0	17	17	17
Thu Nov 18 23:55:26 2021	1637250926	0	17	17	17
Thu Nov 18 23:55:26 2021	1637250926	0	16	17	16
Thu Nov 18 23:55:26 2021	1637250926	0	17	17	16
Thu Nov 18 23:55:26 2021	1637250926	2	15	17	15
Thu Nov 18 23:55:26 2021	1637250926	1	16	17	16
Thu Nov 18 23:55:26 2021	1637250926	1	16	17	16
Thu Nov 18 23:55:26 2021	1637250926	1	16	17	15
Thu Nov 18 23:55:26 2021	1637250926	3	14	17	14
Thu Nov 18 23:55:26 2021	1637250926	1	16	17	16
Thu Nov 18 23:55:26 2021	1637250926	0	17	17	17
Thu Nov 18 23:55:26 2021	1637250926	0	17	17	17
Thu Nov 18 23:55:26 2021	1637250926	0	17	17	17
Thu Nov 18 23:55:26 2021	1637250926	1	16	17	16
Thu Nov 18 23:55:26 2021	1637250926	3	14	17	14
Thu Nov 18 23:55:26 2021	1637250926	0	17	17	17
Thu Nov 18 23:55:26 2021	1637250926	2	15	17	15
Thu Nov 18 23:55:26 2021	1637250926	0	17	17	17
Thu Nov 18 23:55:26 2021	1637250926	0	17	17	16
Thu Nov 18 23:55:26 2021	1637250926	1	16	17	16
Thu Nov 18 23:55:26 2021	1637250926	0	17	17	17
Thu Nov 18 23:55:26 2021	1637250926	0	17	17	17
Thu Nov 18 23:55:26 2021	1637250926	0	17	17	16
Thu Nov 18 23:55:26 2021	1637250926	1	17	17	17
Thu Nov 18 23:55:26 2021	1637250926	0	17	18	17
Thu Nov 18 23:55:26 2021	1637250926	2	16	18	16
Thu Nov 18 23:55:26 2021	1637250926	0	17	18	17
Thu Nov 18 23:55:26 2021	1637250926	1	16	18	16
Thu Nov 18 23:55:26 2021	1637250926	1	16	18	16
Thu Nov 18 23:55:26 2021	1637250926	1	17	18	17
Thu Nov 18 23:55:26 2021	1637250926	1	17	18	17
Thu Nov 18 23:55:26 2021	1637250926	2	15	18	15
Thu Nov 18 23:55:26 2021	1637250926	0	17	18	17
Thu Nov 18 23:55:26 2021	1637250926	1	17	18	16
Thu Nov 18 23:55:26 2021	1637250926	1	17	18	17
Thu Nov 18 23:55:26 2021	1637250926	0	18	18	17
Thu Nov 18 23:55:26 2021	1637250926	2	16	18	16
Thu Nov 18 23:55:26 2021	1637250926	0	18	18	18
Thu Nov 18 23:55:26 2021	1637250926	1	17	18	16
Thu Nov 18 23:55:26 2021	1637250926	1	17	18	17
Thu Nov 18 23:55:26 2021	1637250926	0	18	18	18
Thu Nov 18 23:55:26 2021	1637250926	0	18	18	18
Thu Nov 18 23:55:26 2021	1637250926	0	18	18	18
Thu Nov 18 23:55:26 2021	1637250926	1	17	18	17
Thu Nov 18 23:55:26 2021	1637250926	0	18	18	17
Thu Nov 18 23:55:26 2021	1637250926	1	17	18	16
Thu Nov 18 23:55:26 2021	1637250926	0	18	18	18
Thu Nov 18 23:55:26 2021	1637250926	0	18	18	18
Thu Nov 18 23:55:26 2021	1637250926	2	16	18	16
Thu Nov 18 23:55:26 2021	1637250926	2	16	18	16
Thu Nov 18 23:55:26 2021	1637250926	0	18	18	17
Thu Nov 18 23:55:26 2021	1637250926	1	17	18	17
Thu Nov 18 23:55:26 2021	1637250926	0	18	18	18
Thu Nov 18 23:55:26 2021	1637250926	0	18	18	18
Thu Nov 18 23:55:26 2021	1637250926	2	17	18	16
Thu Nov 18 23:55:26 2021	1637250926	1	18	18	18
Thu Nov 18 23:55:26 2021	1637250926	1	18	18	17
Thu Nov 18 23:55:26 2021	1637250926	0	19	19	18
Thu Nov 18 23:55:26 2021	1637250926	2	16	19	16
Thu Nov 18 23:55:26 2021	1637250926	0	18	19	18
Thu Nov 18 23:55:26 2021	1637250926	2	17	19	17
Thu Nov 18 23:55:26 2021	1637250926	0	19	19	18
Thu Nov 18 23:55:26 2021	1637250926	0	18	19	18
Thu Nov 18 23:55:26 2021	1637250926	0	18	19	18
Thu Nov 18 23:55:26 2021	1637250926	0	19	19	18
Thu Nov 18 23:55:26 2021	1637250926	2	16	19	16
Thu Nov 18 23:55:26 2021	1637250926	0	18	19	18
